closetCleaner Report:
=====================

                  Name |   Count |          Location |                                                 Long Name | 
           Hope Torque |       1 |            Safe 2 |                                               hope torque | 
          Azimuth Coat |       1 |              Sack |                                              azimuth coat | 
           Hes. Cyclas |       1 |         NOT FOUND |                                        hesychast's cyclas | 
         Thr. Tomahawk |       1 |            Locker |                                         throwing tomahawk | 
      Herald's Gaiters |       1 |         NOT FOUND |                                          herald's gaiters | 
        Homeric Gorget |       1 |            Locker |                                            homeric gorget | 
          Brioso Cuffs |       1 |         Inventory |                                              brioso cuffs | 
       Tpl. Gaiters +1 |       1 |           Satchel |                                         temple gaiters +1 | 
        Myochin Kabuto |       2 |         NOT FOUND |                                            myochin kabuto | 
    Nukumi Manoplas +1 |       2 |              Sack |                                        nukumi manoplas +1 | 
         Novio Earring |       2 |         NOT FOUND |                                             novio earring | 
       Paguroidea Ring |       2 |         NOT FOUND |                                           paguroidea ring | 
         Bihu Cannions |       2 |         Inventory |                                             bihu cannions | 
         Arbatel Pants |       2 |              Case |                                             arbatel pants | 
           Witful Belt |       2 |         NOT FOUND |                                               witful belt | 
  Pillager's Poulaines |       2 |            Locker |                                      pillager's poulaines | 
     Hattori Hakama +1 |       2 |            Locker |                                         hattori hakama +1 | 
          Supay Weskit |       2 |              Sack |                                              supay weskit | 
    Scintillating Cape |       2 |           Satchel |                                        scintillating cape | 
     Agoge Calligae +1 |       2 |         NOT FOUND |                                         agoge calligae +1 | 
    Arbatel Bracers +1 |       2 |              Sack |                                        arbatel bracers +1 | 
        Bagua Pants +1 |       2 |           Satchel |                                            bagua pants +1 | 
          Tutyr Sabots |       2 |              Sack |                                              tutyr sabots | 
      Savant's Earring |       2 |         NOT FOUND |                                          savant's earring | 
      Skulker's Bonnet |       2 |           Satchel |                                          skulker's bonnet | 
        Luhlaza Jubbah |       2 |           Satchel |                                            luhlaza jubbah | 
       Arbatel Loafers |       2 |            Safe 2 |                                           arbatel loafers | 
       Windbuffet Belt |       2 |         NOT FOUND |                                           windbuffet belt | 
         Demonry Stone |       2 |         NOT FOUND |                                             demonry stone | 
     Assim. Charuqs +1 |       2 |            Safe 2 |                                  assimilator's charuqs +1 | 
       Mummu Jacket +1 |       2 |              Sack |                                           Mummu jacket +1 | 
      Emicho Gambieras |       2 |              Sack |                                          emicho gambieras | 
     Scamp's Sollerets |       2 |           Satchel |                                         scamp's sollerets | 
       Ankusa Jackcoat |       2 |            Locker |                                           ankusa jackcoat | 
     Goetia Petasos +2 |       2 |           Satchel |                                         goetia petasos +2 | 
           Ankusa Helm |       2 |           Satchel |                                               ankusa helm | 
       Tantra Crown +2 |       2 |            Locker |                                           tantra crown +2 | 
          Plun. Bonnet |       2 |            Locker |                                        plunderer's bonnet | 
     Skulk. Armlets +1 |       2 |           Satchel |                                      skulker's armlets +1 | 
          Schellenband |       2 |         Inventory |                                              schellenband | 
       Vishap F. G. +1 |       2 |              Safe |                                vishap finger gauntlets +1 | 
          Count's Garb |       2 |            Locker |                                              count's garb | 
      Hachi. Kyahan +1 |       2 |              Safe |                                         hachiya kyahan +1 | 
         Mel. Crown +2 |       2 |            Safe 2 |                                            melee crown +2 | 
      Futhark Boots +1 |       2 |         NOT FOUND |                                          futhark boots +1 | 
           Thaumas Hat |       2 |         NOT FOUND |                                               Thaumas hat | 
      Otro. Harness +1 |       2 |         NOT FOUND |                                        otronif harness +1 | 
         Eminent Flute |       2 |         Inventory |                                             eminent flute | 
        Hagondes Cuffs |       2 |            Locker |                                            Hagondes cuffs | 
       Mochizuki Tekko |       2 |              Safe |                                           mochizuki tekko | 
        Twilight Cloak |       2 |           Satchel |                                            Twilight cloak | 
            Omega Ring |       2 |         NOT FOUND |                                                omega ring | 
        Vishap Mail +1 |       2 |              Sack |                                            vishap mail +1 | 
         Hachiya Tekko |       2 |            Safe 2 |                                             hachiya tekko | 
            Swith Cape |       2 |         NOT FOUND |                                                swith cape | 
             Impatiens |       2 |         NOT FOUND |                                                 impatiens | 
       Futhark Coat +1 |       2 |         NOT FOUND |                                           futhark coat +1 | 
          Hes. Hose +1 |       2 |         NOT FOUND |                                       hesychast's hose +1 | 
     Telchine Pigaches |       2 |         Inventory |                                         telchine pigaches | 
          Hasty Pinion |       2 |         NOT FOUND |                                              hasty pinion | 
     Ptero. Fin. G. +1 |       2 |              Safe |                           pteroslaver finger gauntlets +1 | 
          Faith Torque |       2 |              Sack |                                              faith torque | 
           Portus Ring |       2 |         NOT FOUND |                                               portus ring | 
            Alert Ring |       2 |          Wardrobe |                                                alert ring | 
          Sakonji Kote |       2 |         NOT FOUND |                                              sakonji kote | 
          Src. Coat +2 |       2 |            Safe 2 |                                        sorcerer's coat +2 | 
         Sirona's Ring |       2 |         NOT FOUND |                                             Sirona's ring | 
               Astolfo |       2 |    Sack, Wardrobe |                                                   Astolfo | 
      Hashi. Bazubands |       2 |              Sack |                                       hashishin bazubands | 
         Hattori Tekko |       2 |              Sack |                                             hattori tekko | 
          Anwig Salade |       2 |              Safe |                                              anwig salade | 
       Segomo's Mantle |       2 |              Safe |                                           Segomo's mantle | 
     Acad. Mortarboard |       2 |            Locker |                                    academic's mortarboard | 
          Bagua Galero |       2 |              Safe |                                              bagua galero | 
      Vanir Cotehardie |       2 |         NOT FOUND |                                          vanir cotehardie | 
         Gelos Earring |       2 |              Safe |                                             gelos earring | 
        Runeist Mitons |       2 |            Safe 2 |                                            runeist mitons | 
        Mel. Cyclas +2 |       2 |            Safe 2 |                                           melee cyclas +2 | 
         Jokushu Chain |       2 |              Safe |                                             jokushu chain | 
     Vishap Greaves +1 |       2 |           Satchel |                                         vishap greaves +1 | 
        Argute Gown +2 |       2 |              Sack |                                            argute gown +2 | 
      Hashishin Basmak |       3 |           Satchel |                                          hashishin basmak | 
      Mochi. Chainmail |       3 |              Sack |                                       mochizuki chainmail | 
        Geomancy Pants |       3 |              Safe |                                            geomancy pants | 
       Orison Mitts +2 |       3 |           Satchel |                                           orison mitts +2 | 
     Pel. Vambraces +1 |       3 |           Satchel |                                    peltast's vambraces +1 | 
       Ad. Mnchtte. +2 |       3 |         Inventory |                                     aoidos' manchettes +2 | 
     Merlinic Dastanas |       3 |              Sack |                                         merlinic dastanas | 
        Bagua Tunic +1 |       3 |              Case |                                            bagua tunic +1 | 
          Deino Collar |       3 |              Safe |                                              deino collar | 
       Aoidos' Matinee |       3 |         Inventory |                                           aoidos' matinee | 
         Orison Cap +2 |       3 |            Safe 2 |                                             orison cap +2 | 
        Sailfi Belt +1 |       3 |         Inventory |                                            sailfi belt +1 | 
      Bagua Sandals +1 |       3 |            Safe 2 |                                          bagua sandals +1 | 
           Spiral Ring |       3 |         NOT FOUND |                                               spiral ring | 
      Hippomenes Socks |       3 |         Inventory |                                          Hippomenes socks | 
  Pastoralist's Mantle |       3 |              Sack |                                      pastoralist's mantle | 
       Yamabuki-no-Obi |       3 |        Wardrobe 2 |                                           yamabuki-no-obi | 
        Nukumi Gausape |       3 |              Case |                                            nukumi gausape | 
         Hattori Ningi |       3 |           Satchel |                                             hattori ningi | 
      Tot. Jackcoat +1 |       3 |            Safe 2 |                                       totemic jackcoat +1 | 
       Pelt. Schyn. +1 |       3 |           Satchel |                                   peltast's schynbalds +1 | 
       Con. Doublet +1 |       3 |              Safe |                                     convoker's doublet +1 | 
       Hashishin Kavuk |       3 |              Sack |                                           hashishin kavuk | 
       Loquac. Earring |       3 |         NOT FOUND |                                        loquacious earring | 
        Ptero. Mail +1 |       3 |           Satchel |                                       pteroslaver mail +1 | 
       Vishap Armet +1 |       3 |           Satchel |                                           vishap armet +1 | 
     Tjukurrpa Annulet |       3 |          Wardrobe |                                         Tjukurrpa annulet | 
        Arbatel Bonnet |       3 |            Locker |                                            arbatel bonnet | 
        Hes. Gloves +1 |       3 |           Satchel |                                     hesychast's gloves +1 | 
    Ankusa Trousers +1 |       3 |              Case |                                        ankusa trousers +1 | 
          Denali Kecks |       3 |              Case |                                              denali kecks | 
         Apogee Slacks |       3 |            Safe 2 |                                             apogee slacks | 
        Azimuth Tights |       3 |            Safe 2 |                                            azimuth tights | 
      Glorious Earring |       4 |              Safe |                                          glorious earring | 
      Goetia Sabots +2 |       4 |              Case |                                          goetia sabots +2 | 
       Lifestream Cape |       4 |        Wardrobe 2 |                                           lifestream cape | 
      Bihu Justaucorps |       4 |         NOT FOUND |                                          bihu justaucorps | 
            Elan Strap |       4 |              Sack |                                                elan strap | 
       Unkai Domaru +2 |       4 |            Safe 2 |                                           unkai domaru +2 | 
         Theophany Cap |       4 |              Safe |                                             theophany cap | 
        Src. Gloves +2 |       4 |            Locker |                                      sorcerer's gloves +2 | 
        Thur. Boots +1 |       4 |           Satchel |                                       Thurandaut boots +1 | 
       Mummu Wrists +1 |       4 |              Case |                                           Mummu wrists +1 | 
     Nahtirah Trousers |       4 |           Satchel |                                         nahtirah trousers | 
      Scorpion Ring +1 |       4 |          Wardrobe |                                          scorpion ring +1 | 
          Otomi Gloves |       4 |            Locker |                                              otomi gloves | 
     Hachiya Hatsuburi |       4 |            Locker |                                         hachiya hatsuburi | 
          Umbani Boots |       4 |              Safe |                                              umbani boots | 
           Soil Gorget |       4 |         NOT FOUND |                                               soil gorget | 
        Updraft Mantle |       4 |        Wardrobe 2 |                                            updraft mantle | 
        Orison Earring |       4 |           Satchel |                                            orison earring | 
            Flume Belt |       4 |         NOT FOUND |                                                flume belt | 
           Lutian Cape |       4 |            Locker |                                               lutian cape | 
          Hagondes Hat |       4 |            Safe 2 |                                              Hagondes hat | 
        Geomancy Tunic |       4 |              Case |                                            geomancy tunic | 
    Pillager's Armlets |       4 |              Sack |                                        pillager's armlets | 
       Carbuncle Mitts |       4 |              Sack |                                           Carbuncle mitts | 
       Amalric Doublet |       4 |           Satchel |                                           amalric doublet | 
             Soil Belt |       4 |         NOT FOUND |                                                 soil belt | 
      Pixie Hairpin +1 |       4 |            Locker |                                          pixie hairpin +1 | 
         Miki. Cuisses |       4 |              Safe |                                          mikinaak cuisses | 
     Ankusa Gaiters +1 |       4 |              Sack |                                         ankusa gaiters +1 | 
          Mel. Hose +2 |       4 |              Sack |                                             melee hose +2 | 
         Wiglen Gorget |       4 |         NOT FOUND |                                             wiglen gorget | 
   Futhark Trousers +1 |       4 |         NOT FOUND |                                       futhark trousers +1 | 
      Iuitl Wristbands |       4 |            Locker |                                          iuitl wristbands | 
      Mummu Gamash. +1 |       5 |              Safe |                                         Mummu gamashes +1 | 
             Bane Cape |       5 |        Wardrobe 2 |                                                 bane cape | 
      Piety Pantaloons |       5 |         NOT FOUND |                                          piety pantaloons | 
       Otronif Harness |       5 |            Locker |                                           otronif harness | 
      Imbodla Necklace |       5 |        Wardrobe 2 |                                          imbodla necklace | 
         Savas Jawshan |       5 |              Sack |                                             savas jawshan | 
    Orsn. Duckbills +2 |       5 |           Satchel |                                       orison duckbills +2 | 
          Runeist Coat |       5 |            Locker |                                              runeist coat | 
       Azimuth Hood +1 |       5 |            Safe 2 |                                           azimuth hood +1 | 
         Otronif Boots |       5 |              Safe |                                             otronif boots | 
           Prolix Ring |       5 |         NOT FOUND |                                               prolix ring | 
      Ankusa Gloves +1 |       5 |            Safe 2 |                                          ankusa gloves +1 | 
      Unkai Haidate +2 |       5 |            Locker |                                          unkai haidate +2 | 
         Glyphic Spats |       5 |            Safe 2 |                                             glyphic spats | 
             Espiritus |       5 |              Case |                                                 espiritus | 
      Tethyan Trews +3 |       5 |              Sack |                                          tethyan trews +3 | 
      Geo. Mitaines +1 |       5 |              Case |                                      geomancy mitaines +1 | 
          Mending Cape |       6 |              Safe |                                              mending cape | 
       Beckoner's Horn |       6 |           Satchel |                                           beckoner's horn | 
         Fili Calot +1 |       6 |         Inventory |                                             fili calot +1 | 
           Antitail +1 |       6 |            Locker |                                               antitail +1 | 
          Apogee Crown |       6 |            Locker |                                              apogee crown | 
   Sulevia's Plate. +1 |       6 |            Safe 2 |                                    Sulevia's platemail +1 | 
     Pelt. Cuissots +1 |       6 |            Locker |                                     peltast's cuissots +1 | 
       Mel. Gaiters +2 |       6 |            Locker |                                          melee gaiters +2 | 
   Peltast's Mezail +1 |       6 |            Locker |                                       peltast's mezail +1 | 
          Pitchfork +1 |       6 |          Wardrobe |                                              pitchfork +1 | 
        Thaumas Gloves |       6 |         NOT FOUND |                                            Thaumas gloves | 
       Geo. Sandals +1 |       6 |            Locker |                                       geomancy sandals +1 | 
           Iga Erimaki |       6 |           Satchel |                                               iga erimaki | 
      Caller's Pendant |       6 |            Locker |                                          caller's pendant | 
       Runeist Bandeau |       6 |           Satchel |                                           runeist bandeau | 
          Angel's Ring |       6 |          Wardrobe |                                              angel's ring | 
         Eddy Necklace |       6 |        Wardrobe 2 |                                             eddy necklace | 
            Mavi Scarf |       6 |            Safe 2 |                                                mavi scarf | 
       Bookworm's Cape |       6 |              Safe |                                           bookworm's cape | 
             Snow Belt |       6 |         NOT FOUND |                                                 snow belt | 
         Hlr. Mitts +1 |       6 |            Safe 2 |                                         healer's mitts +1 | 
        Hag. Sabots +1 |       7 |           Satchel |                                        Hagondes sabots +1 | 
     Bagua Mitaines +1 |       7 |              Sack |                                         bagua mitaines +1 | 
        Uk'uxkaj Boots |       7 |              Sack |                                            Uk'uxkaj boots | 
       Orvail Pants +1 |       7 |            Locker |                                           Orvail pants +1 | 
         Peda. Loafers |       7 |              Safe |                                          pedagogy loafers | 
       Academic's Gown |       7 |              Sack |                                           academic's gown | 
        Magoraga Beads |       7 |        Wardrobe 2 |                                    Magoraga bead necklace | 
        Pedagogy Pants |       7 |              Safe |                                            pedagogy pants | 
        Grapevine Cape |       7 |        Wardrobe 2 |                                            grapevine cape | 
      Kaabnax Trousers |       7 |              Safe |                                          kaabnax trousers | 
         Excelsis Ring |       7 |          Wardrobe |                                             excelsis ring | 
          Thrace Strap |       7 |              Case |                                              Thrace strap | 
    Nukumi Quijotes +1 |       7 |              Case |                                        nukumi quijotes +1 | 
              Holliday |       8 |              Safe |                                                  Holliday | 
     Chironic Slippers |       8 |         Inventory |                                         chironic slippers | 
            Umuthi Hat |       8 |         Inventory |                                                umuthi hat | 
      Orison Bliaud +2 |       8 |              Safe |                                          orison bliaud +2 | 
          Warwolf Belt |       8 |         NOT FOUND |                                              warwolf belt | 
     Anchoret's Mantle |       8 |        Wardrobe 2 |                                         anchoret's mantle | 
            Sleep Bolt |       8 |         NOT FOUND |                                                sleep bolt | 
           Snow Gorget |       8 |         NOT FOUND |                                               snow gorget | 
         Bronze Bullet |       8 |         NOT FOUND |                                             bronze bullet | 
     Oce. Headpiece +1 |       8 |         NOT FOUND |                                     ocelomeh headpiece +1 | 
      Gendewitha Spats |       8 |         Inventory |                                          Gendewitha spats | 
       Hangaku-no-Yumi |       8 |            Locker |                                           Hangaku-no-Yumi | 
         Behemoth Ring |       8 |          Wardrobe |                                             behemoth ring | 
         Acad. Loafers |       9 |              Sack |                                        academic's loafers | 
     Savant's Treatise |       9 |            Safe 2 |                                         savant's treatise | 
       Rumination Sash |       9 |        Wardrobe 2 |                                           rumination sash | 
       Glyphic Doublet |       9 |           Satchel |                                           glyphic doublet | 
              Izhiikoh |       9 |            Locker |                                                  izhiikoh | 
           Elephas Axe |       9 |         NOT FOUND |                                               elephas axe | 
            Feast Hose |       9 |         Inventory |                                                feast hose | 
                Arktoi |       9 |            Safe 2 |                                                    Arktoi | 
         Hagondes Coat |       9 |              Safe |                                             Hagondes coat | 
             Terpander |       9 |         Inventory |                                                 Terpander | 
        Summoning Belt |       9 |              Case |                                            summoning belt | 
        Pratik Earring |       9 |          Wardrobe |                                            pratik earring | 
         Orison Locket |       9 |            Locker |                                             orison locket | 
      Beckoner's Spats |       9 |              Sack |                                          beckoner's spats | 
        Yaoyotl Gloves |       9 |            Locker |                                            yaoyotl gloves | 
        Taranus's Cape |      10 |        Wardrobe 2 |                                            Taranus's cape | 
      Skulk. Poulaines |      10 |           Satchel |                                       skulker's poulaines | 
    Beckoner's Bracers |      10 |              Case |                                        beckoner's bracers | 
      Apogee Dalmatica |      10 |            Locker |                                          apogee dalmatica | 
        Skulker's Vest |      10 |            Safe 2 |                                            skulker's vest | 
        Alaunus's Cape |      10 |            Locker |                                            Alaunus's cape | 
          Diamond Ring |      10 |          Wardrobe |                                              diamond ring | 
         Plun. Armlets |      10 |            Locker |                                       plunderer's armlets | 
        Thunder Gorget |      10 |         NOT FOUND |                                            thunder gorget | 
          Uk'uxkaj Cap |      10 |              Safe |                                              Uk'uxkaj cap | 
   Pillager's Culottes |      10 |           Satchel |                                       pillager's culottes | 
          Phorcys Dirs |      10 |              Case |                                              Phorcys dirs | 
     Orsn. Pantaln. +2 |      10 |              Safe |                                      orison pantaloons +2 | 
     Fili Cothurnes +1 |      10 |         Inventory |                                         fili cothurnes +1 | 
      Manibozho Jerkin |      10 |         NOT FOUND |                                          Manibozho jerkin | 
      Lilitu Headpiece |      11 |              Safe |                                          lilitu headpiece | 
               Gungnir |      11 |            Locker |                                                   Gungnir | 
       Killer Shortbow |      11 |            Locker |                                           killer shortbow | 
     Futhark Mitons +1 |      11 |         NOT FOUND |                                         futhark mitons +1 | 
    Ghastly Tathlum +1 |      11 |           Satchel |                                        ghastly tathlum +1 | 
      Nepenthe Grip +1 |      11 |              Case |                                          nepenthe grip +1 | 
       Liminus Earring |      11 |         NOT FOUND |                                           liminus earring | 
               Hatxiik |      11 |           Satchel |                                                   hatxiik | 
       Pillager's Vest |      11 |            Safe 2 |                                           pillager's vest | 
           Amm Greaves |      11 |            Safe 2 |                                               amm greaves | 
       Conveyance Cape |      11 |              Case |                                           conveyance cape | 
         Respite Cloak |      12 |         Inventory |                                             respite cloak | 
          Iuitl Tights |      12 |           Satchel |                                              iuitl tights | 
    Skulker's Culottes |      12 |              Case |                                        skulker's culottes | 
        Danzo Sune-Ate |      12 |        Wardrobe 2 |                                            danzo sune-ate | 
        Mextli Harness |      12 |            Locker |                                            mextli harness | 
          Thunder Belt |      12 |         NOT FOUND |                                              thunder belt | 
              Solstice |      12 |            Safe 2 |                                                  solstice | 
       Convoker's Horn |      12 |              Sack |                                           convoker's horn | 
      Anch. Gaiters +1 |      12 |         NOT FOUND |                                    anchorite's gaiters +1 | 
      Terminus Earring |      12 |         NOT FOUND |                                          terminus earring | 
           Lugh's Cape |      12 |        Wardrobe 2 |                                               Lugh's cape | 
    Nantosuelta's Cape |      12 | Safe 2, Wardrobe 2 |                                        Nantosuelta's cape | 
       Gende. Galoshes |      12 |         Inventory |                                       Gendewitha galoshes | 
          Mavi Earring |      13 |          Wardrobe |                                              mavi earring | 
              Tamaxchi |      13 |              Safe |                                                  Tamaxchi | 
     Evasionist's Cape |      13 |           Satchel |                                         evasionist's cape | 
              Aganoshe |      13 |            Safe 2 |                                                  Aganoshe | 
                 Eshus |      13 |           Satchel |                                                     eshus | 
             Toro Cape |      13 |        Wardrobe 2 |                                                 toro cape | 
                Ginsen |      13 |              Safe |                                                    Ginsen | 
    Glyphic Bracers +1 |      13 |              Case |                                        glyphic bracers +1 | 
        Emicho Coronet |      13 |              Safe |                                            emicho coronet | 
