closetCleaner ignored Report:
=====================

                  Name |   Count |          Location |                                                 Long Name | 
           Squid Sushi |       0 |            Locker |                                      plate of squid sushi | 
         Kabuto-kazari |       0 |              Safe |                                             kabuto-kazari | 
           Shikanofuda |       0 |              Sack |                                               shikanofuda | 
           P. GEO Card |       0 |              Case |                                    paragon geomancer card | 
          Dredger Hose |       0 |        Wardrobe 2 |                                              dredger hose | 
    Kgd. Stable Collar |       0 |        Wardrobe 2 |                                    Kingdom stables collar | 
         Facility Ring |       0 |          Wardrobe |                                             facility ring | 
        Festival Dolls |       0 |              Safe |                                     set of festival dolls | 
        Stationery Set |       0 |              Safe |                                            stationery set | 
       Carver's Torque |       0 |        Wardrobe 2 |                                           carver's torque | 
      Midras's Helm +1 |       0 |        Wardrobe 2 |                                          Midras's helm +1 | 
    Jo.Abjuration: Ft. |       0 |              Case |                                   jovian abjuration: feet | 
            Nexus Cape |       0 |           Satchel |                                                nexus cape | 
        E♂ Mannequin |       0 |              Safe |                                      Elvaan ♂ mannequin | 
       Chocobo Whistle |       0 |        Wardrobe 2 |                                           chocobo whistle | 
             Linkpearl |       0 |              Case |                                                 linkpearl | 
         Capacity Ring |       0 |          Wardrobe |                                             capacity ring | 
    Official Reflector |       0 |            Safe 2 |                                   official soul reflector | 
            Maat's Cap |       0 |        Wardrobe 2 |                                                Maat's cap | 
            Vana'clock |       0 |            Safe 2 |                                                Vana'clock | 
          Windy Greens |       0 |            Locker |                                   handful of windy greens | 
        Tavnazian Ring |       0 |          Wardrobe |                                            Tavnazian ring | 
           Trizek Ring |       0 |          Wardrobe |                                               trizek ring | 
                Sickle |       0 |              Case |                                                    sickle | 
       Storage Slip 14 |       0 |              Sack |                                    moogle storage slip 14 | 
       Sanjaku-Tenugui |       0 |              Sack |                                           sanjaku-tenugui | 
    Carpenter's Gloves |       0 |        Wardrobe 2 |                                        carpenter's gloves | 
     Dim. Ring (Holla) |       0 |          Wardrobe |                                  dimensional ring (Holla) | 
       Storage Slip 12 |       0 |              Sack |                                    moogle storage slip 12 | 
     Imperial Standard |       0 |              Safe |                                         Imperial standard | 
       Storage Slip 01 |       0 |              Sack |                                    moogle storage slip 01 | 
      Carpenter's Sign |       0 |              Safe |                                     carpenter's signboard | 
             Chonofuda |       0 |            Safe 2 |                                                 chonofuda | 
           P. BRD Card |       0 |              Case |                                         paragon bard card | 
       Yel. VCS Plaque |       0 |              Safe |                                         yellow VCS plaque | 
            Pear Crepe |       0 |            Safe 2 |                                                pear crepe | 
     Bam. Grass Basket |       0 |              Sack |                                       bamboo grass basket | 
         Bastokan Flag |       0 |              Safe |                                             Bastokan flag | 
        Pet Food Theta |       1 | Locker, Satchel, Sack |                                    Pet Food Theta biscuit | 
       Mecisto. Mantle |       8 |        Wardrobe 2 |                                        mecistopins mantle | 
        Ichigohitofuri |      11 |              Sack |                                            ichigohitofuri | 
           Warp Cudgel |      70 |          Wardrobe |                                               Warp cudgel | 
